Dato,Tid,Globalstraling,Solskinstid,Lufttemperatur,"Relativ luftfuktighet",Vindretning,Vindstyrke,Lufttrykk,Vindkast
2021-01-01,00:00,-1.3,0,0.1,91,138,0.5,996.5,0.9
2021-01-01,00:10,-1.2,0,-0.3,90,153,0.4,996.7,0.6
2021-01-01,00:20,-0.6,0,0.3,90,159,0.2,996.7,0.6
2021-01-01,00:30,-0.6,0,0,91,208,0.5,996.7,0.9
2021-01-01,00:40,-1.3,0,-0.2,90,125,0.5,996.8,0.9
2021-01-01,00:50,-1.5,0,-0.4,90,105,0.1,996.8,0.6
2021-01-01,01:00,-1.1,0,-0.1,91,124,0.4,996.8,0.9
2021-01-01,01:10,-1,0,-0.1,91,137,0.6,996.8,1.2
2021-01-01,01:20,-1.1,0,-0.1,90,128,0.2,996.8,0.6
2021-01-01,01:30,-0.8,0,-0.3,90,123,0,996.8,0.3
2021-01-01,01:40,-0.2,0,0,91,177,0.4,997,0.9
2021-01-01,01:50,-0.2,0,0.3,91,316,1,997.2,1.5
2021-01-01,02:00,-0.5,0,0.2,91,282,0.9,997.2,1.5
2021-01-01,02:10,-0.9,0,0.1,91,282,0.9,997.3,1.8
2021-01-01,02:20,-0.9,0,0.1,91,269,0.9,997.3,1.2
2021-01-01,02:30,-1.2,0,0,91,272,0.8,997.3,1.5
2021-01-01,02:40,-1.2,0,-0.1,90,71,0.5,997.5,1.2
2021-01-01,02:50,-1.7,0,-0.3,89,128,0.2,997.5,0.6
2021-01-01,03:00,-1.5,0,-0.2,90,125,0.3,997.5,0.9
2021-01-01,03:10,-1,0,-0.3,90,101,0.3,997.5,0.9
2021-01-01,03:20,-0.5,0,0.1,91,38,0.7,997.5,1.8
2021-01-01,03:30,-0.6,0,0.2,91,305,1.1,997.5,1.5
2021-01-01,03:40,-1.1,0,0,91,281,0.8,997.3,1.5
2021-01-01,03:50,-1.8,0,-0.5,90,235,0.1,997.3,0.6
2021-01-01,04:00,-1,0,-0.1,91,264,0.7,997.3,1.5
2021-01-01,04:10,-1.1,0,-0.2,91,16,0.5,997.5,1.2
2021-01-01,04:20,-1,0,-0.2,91,80,0.3,997.3,0.9
2021-01-01,04:30,-0.7,0,0.1,91,15,0.6,997.5,1.8
2021-01-01,04:40,-0.7,0,0.1,91,294,1.3,997.5,3
2021-01-01,04:50,-1,0,0.1,91,282,1.3,997.5,2.7
2021-01-01,05:00,-1,0,0.3,91,273,1.8,997.5,2.7
2021-01-01,05:10,-1.3,0,0.5,91,268,1.3,997.5,1.8
2021-01-01,05:20,-1.2,0,0.6,91,293,1.7,997.7,2.4
2021-01-01,05:30,-2,0,-0.1,89,273,0.8,997.7,1.8
2021-01-01,05:40,-2.1,0,0,90,141,1.3,997.7,1.8
2021-01-01,05:50,-1.7,0,-0.2,90,139,1.1,997.8,1.8
2021-01-01,06:00,-1.8,0,-0.3,90,124,0.9,997.8,1.5
2021-01-01,06:10,-1.5,0,-0.3,90,123,1,997.8,1.5
2021-01-01,06:20,-1.4,0,-0.1,90,133,1.2,997.8,1.8
2021-01-01,06:30,-1.2,0,-0.1,90,146,0.8,997.8,1.5
2021-01-01,06:40,-0.9,0,0.2,91,174,0.8,998,2.4
2021-01-01,06:50,-1.2,0,0.1,90,274,1,998.2,2.1
2021-01-01,07:00,-1.8,0,-0.3,89,196,0.6,998.5,1.5
2021-01-01,07:10,-1.3,0,-0.1,90,115,1,998.5,1.8
2021-01-01,07:20,-1.4,0,-0.2,90,133,1,998.5,1.8
2021-01-01,07:30,-1.1,0,-0.1,89,144,1.3,998.7,1.8
2021-01-01,07:40,-1.2,0,-0.3,89,120,0.9,998.7,1.5
2021-01-01,07:50,-1.4,0,-0.5,89,146,0.6,998.7,1.2
2021-01-01,08:00,-1.4,0,-0.4,89,147,0.5,998.8,1.5
2021-01-01,08:10,-0.5,0,0.2,90,186,0.5,998.8,1.5
2021-01-01,08:20,-0.2,0,-0.1,89,278,0.8,998.8,1.5
2021-01-01,08:30,-0.1,0,-0.3,89,212,0.3,999,0.9
2021-01-01,08:40,1.4,0,-0.8,89,129,0.9,999,1.8
2021-01-01,08:50,3.4,0,-0.4,89,150,1.2,999,1.8
2021-01-01,09:00,5,0,-0.5,89,146,0.9,999.2,1.5
2021-01-01,09:10,6.8,0,-0.7,88,147,0.2,999.4,0.9
2021-01-01,09:20,9.5,0,-0.4,90,203,0.4,999.4,1.5
2021-01-01,09:30,15.2,0,-0.3,89,203,0.5,999.5,1.2
